usuario,perfilLink,textoComentario,timestamp,dataFormatada,tempoExibido,likes,id_comentario,texto_limpo,n_palavras,categorias,n_categorias,categoria_principal,sent_score,sent_polaridade,sent_intensidade,sent_n_palavras
febal04,febal04,"História parecida com a de muitas mulheres aqui: almoço em casa era sinônimo de homens sendo servidos e trabalho extra pras mulheres e pra mim (o que incluía buscar a cerveja, já que eu estava de pé). Nunca aceitei isso.",2023-01-16T10:39:40Z,"Jan 16, 2023",121w,0,173,"História parecida com a de muitas mulheres aqui: almoço em casa era sinônimo de homens sendo servidos e trabalho extra pras mulheres e pra mim (o que incluía buscar a cerveja, já que eu estava de pé). Nunca aceitei isso.",40,,1,diferenciacao_domestica,0,neutro,0,0
sra.jordan,sra.jordan,"Na minha casa, tarefas como estender a mesa, colocar roupas na máquina de lavar, lavar, secar e guardar a louça, eram coisas comuns para os 4 filhos - 2 meninas e 2 meninos. Mas quem insistiram para que fizessem curso de computação foram os meninos, quem ensinaram a fazer pão, foram os meninos.",2023-01-16T10:25:32Z,"Jan 16, 2023",121w,0,174,"Na minha casa, tarefas como estender a mesa, colocar roupas na máquina de lavar, lavar, secar e guardar a louça, eram coisas comuns para os 4 filhos - 2 meninas e 2 meninos. Mas quem insistiram para que fizessem curso de computação foram os meninos, quem ensinaram a fazer pão, foram os meninos.",53,,3,diferenciacao_domestica,0,neutro,0,0
shislene.oliveira,shislene.oliveira,"Sou a mais velha de 4 irmãos, cuidei de todos, não tive escolha! E nunca foi o suficiente. Fora os detalhes que nem consigo descrever, até hoje eles me assombram!",2023-01-16T10:06:33Z,"Jan 16, 2023",121w,0,175,"Sou a mais velha de 4 irmãos, cuidei de todos, não tive escolha! E nunca foi o suficiente. Fora os detalhes que nem consigo descrever, até hoje eles me assombram!",30,,0,sem_categoria,0,neutro,0,0
reginafttorres,reginafttorres,"Meus irmãos foram criados sem lavar a própria cueca. Eu lavava minhas roupas à mão já aos 10 anos e antes disso lavava fraldas de pano dos meus 2 irmãos mais novos. (ODEIO LAVAR FRALDA DE PANO, e as ecologistas piiiiiiiiram). Houve uma situação em específico que eu gostava de limpar a casa tarde da noite pra poder ficar vendo série depois (era a hora que ninguém perturbava) e meu irmão deixou umas cascas de fruta em cima da mesa que eu já tinha limpado. Pedi pra ele tirar. Depois pedi de novo e como ele não tirou, eu disse uns desaforos e ele entrou no quarto e destruiu um móvel. Adivinha do lado de quem minha mãe ficou? Desde esse dia, o que ele deixava, lá ficava. Quando ela perguntava, eu só dizia que foi Fulano e não tirava mais nem a pau.",2023-01-16T10:03:34Z,"Jan 16, 2023",121w,2,176,"Meus irmãos foram criados sem lavar a própria cueca. Eu lavava minhas roupas à mão já aos 10 anos e antes disso lavava fraldas de pano dos meus 2 irmãos mais novos. (ODEIO LAVAR FRALDA DE PANO, e as ecologistas piiiiiiiiram). Houve uma situação em específico que eu gostava de limpar a casa tarde da noite pra poder ficar vendo série depois (era a hora que ninguém perturbava) e meu irmão deixou umas cascas de fruta em cima da mesa que eu já tinha limpado. Pedi pra ele tirar. Depois pedi de novo e como ele não tirou, eu disse uns desaforos e ele entrou no quarto e destruiu um móvel. Adivinha do lado de quem minha mãe ficou? Desde esse dia, o que ele deixava, lá ficava. Quando ela perguntava, eu só dizia que foi Fulano e não tirava mais nem a pau.",144,,3,diferenciacao_domestica,0,neutro,0,0
estou__gi,estou__gi,"Eu a minha irmã éramos cobradas pelos serviços de casa enquanto meus irmãos não tinham responsabilidades do tipo. A diferenciação no tratamento , bem como privilégios, acontece até hj, adultos. A diferença é gritante e consegui perceber uma reprodução clara doq vivi ao ver a diferença que minha mãe dava ao meu sobrinho e minha sobrinha qd os dois moravam com a gente. O machismo era, e por vzs ainda é, extremamente presente tanto da minha mãe, quanto do meu pai.",2023-01-16T09:50:13Z,"Jan 16, 2023",121w,0,177,"Eu a minha irmã éramos cobradas pelos serviços de casa enquanto meus irmãos não tinham responsabilidades do tipo. A diferenciação no tratamento , bem como privilégios, acontece até hj, adultos. A diferença é gritante e consegui perceber uma reprodução clara doq vivi ao ver a diferença que minha mãe dava ao meu sobrinho e minha sobrinha qd os dois moravam com a gente. O machismo era, e por vzs ainda é, extremamente presente tanto da minha mãe, quanto do meu pai.",81,,3,diferenciacao_domestica,-0.5,negativo,0.5,3
suelenpfr,suelenpfr,Lendo esses comentários eu agradeço mais ainda pelos meus pais ❤️,2023-01-16T09:32:28Z,"Jan 16, 2023",121w,0,178,Lendo esses comentários eu agradeço mais ainda pelos meus pais ❤️,11,,0,sem_categoria,0,neutro,0,0
danielayam,danielayam,Meu irmão levava namoradas pra dormir em casa e meu namorado não podia nem chegar perto do quarto. Ele podia sair à noite qualquer dia da semana e eu somente fds.,2023-01-16T09:30:20Z,"Jan 16, 2023",121w,0,179,Meu irmão levava namoradas pra dormir em casa e meu namorado não podia nem chegar perto do quarto. Ele podia sair à noite qualquer dia da semana e eu somente fds.,31,,4,diferenciacao_domestica,0,neutro,0,0
priscilasbrando,priscilasbrando,"Quando visito a casa da minha mãe, sou chamada de madame por ela, se não lavo louça, ou porque ela faz o almoço. Por que eu estou atrapalhando o serviço dela, que é lavar as roupas dos meus outros 3 irmãos.",2023-01-16T09:14:47Z,"Jan 16, 2023",121w,0,180,"Quando visito a casa da minha mãe, sou chamada de madame por ela, se não lavo louça, ou porque ela faz o almoço. Por que eu estou atrapalhando o serviço dela, que é lavar as roupas dos meus outros 3 irmãos.",41,,2,diferenciacao_domestica,0,neutro,0,0
macastrop,macastrop,"Nossa gente… sou a mais velha de 3, os outros 2 são homens, é mesmo sendo a mais velha nunca tivemos diferença em casa…Acho que nunca tinha percebido esse privilégio até agora ao ler esses comentários. Sempre foi tudo muito dividido e as restrições que meu pai colocava pra mim na adolescência de sair / viajar, meus irmãos também tinham. A hora pra voltar pra casa também era a mesma. Nunca houve diferença (e um dos meus irmãos é só um ano mais novo)",2023-01-16T09:14:00Z,"Jan 16, 2023",121w,6,181,"Nossa gente… sou a mais velha de 3, os outros 2 são homens, é mesmo sendo a mais velha nunca tivemos diferença em casa…Acho que nunca tinha percebido esse privilégio até agora ao ler esses comentários. Sempre foi tudo muito dividido e as restrições que meu pai colocava pra mim na adolescência de sair / viajar, meus irmãos também tinham. A hora pra voltar pra casa também era a mesma. Nunca houve diferença (e um dos meus irmãos é só um ano mais novo)",84,,2,diferenciacao_domestica,-0.5,negativo,0.5,2
paulamarceelle,paulamarceelle,Meu pai disse uma vez: não bata de frente com seu irmão porque ele é homem. A frase não fez sentido pra mim. Continuo respondendo os dois 😒,2023-01-16T09:07:01Z,"Jan 16, 2023",121w,0,182,Meu pai disse uma vez: não bata de frente com seu irmão porque ele é homem. A frase não fez sentido pra mim. Continuo respondendo os dois 😒,28,,0,sem_categoria,0,neutro,0,0
beth_cris_ferreira,beth_cris_ferreira,"Os homens da família não juntavam um colher, até hj são assim, era tudo as meninas. Casei com um cara assim, trabalhava dentro e fora de casa e ele colocava defeito em tudo e o que eu fazia? Me esforçava pra melhorar e o problema nem era eu. Consegui separar.",2023-01-16T08:36:21Z,"Jan 16, 2023",121w,0,183,"Os homens da família não juntavam um colher, até hj são assim, era tudo as meninas. Casei com um cara assim, trabalhava dentro e fora de casa e ele colocava defeito em tudo e o que eu fazia? Me esforçava pra melhorar e o problema nem era eu. Consegui separar.",50,,2,diferenciacao_domestica,0,neutro,0,0
fefamadeira,fefamadeira,"Graças a Deus! Eu e meu irmão ( 2a e meio de diferença ), sempre dividimos juntos as tarefas. Fomos ensinados de forma igual por nossa mãe, e isso me ensinou senso de justiça e a ele acredito que tenha ensinado, independência e igualdade. Nunca me senti menos do que ele, hoje somos melhores amigos, parceiros, bem sucedidos, e ainda cuidamos muito bem da nossa mãezinha. ❤️",2023-01-16T08:04:40Z,"Jan 16, 2023",121w,0,184,"Graças a Deus! Eu e meu irmão ( 2a e meio de diferença ), sempre dividimos juntos as tarefas. Fomos ensinados de forma igual por nossa mãe, e isso me ensinou senso de justiça e a ele acredito que tenha ensinado, independência e igualdade. Nunca me senti menos do que ele, hoje somos melhores amigos, parceiros, bem sucedidos, e ainda cuidamos muito bem da nossa mãezinha. ❤️",67,,1,diferenciacao_liberdades,0.25,positivo,0.25,2
tamarascand,tamarascand,"Meu pai nunca quis me ensinar a dirigir, dizia que não queria que eu criasse vícios no volante, mas quando meu irmão fez 18 foi lá e começou a ensinar ele. Acabou que ele quase bateu o carro então meu pai nunca mais ensinou ele.",2023-01-16T07:34:46Z,"Jan 16, 2023",121w,0,185,"Meu pai nunca quis me ensinar a dirigir, dizia que não queria que eu criasse vícios no volante, mas quando meu irmão fez 18 foi lá e começou a ensinar ele. Acabou que ele quase bateu o carro então meu pai nunca mais ensinou ele.",45,,0,sem_categoria,0,neutro,0,0
adrianacaitano,adrianacaitano,"Lembrando que a @nana.queiroz fez um levantamento parecido, que embasou o livro ""Os homens são a cura do machismo""",2023-01-16T07:32:30Z,"Jan 16, 2023",121w,0,186,"Lembrando que a .queiroz fez um levantamento parecido, que embasou o livro ""Os homens são a cura do machismo""",19,,1,consciencia_resistencia,-0.5,negativo,0.5,1
elisa_o_kuhn,elisa_o_kuhn,"Sempre fui introduzida em tarefas domésticas conforme a idade, porém quando meu irmão chegava na mesma idade ( ele é quatro anos mais novo)as mesmas tarefas não eram passadas pra ele.",2023-01-16T07:26:52Z,"Jan 16, 2023",121w,0,187,"Sempre fui introduzida em tarefas domésticas conforme a idade, porém quando meu irmão chegava na mesma idade ( ele é quatro anos mais novo)as mesmas tarefas não eram passadas pra ele.",31,,0,sem_categoria,0,neutro,0,0
cecilia.cambuci,cecilia.cambuci,"A menininha do papai sou eu @betinhoferreira17 sou mt abrncoada por ter vocês...mas aquela de pegar o carro, hahahahaah..nao deixarei essa lembranca morrer 😂😂😂",2023-01-16T06:55:00Z,"Jan 16, 2023",121w,0,188,"A menininha do papai sou eu sou mt abrncoada por ter vocês...mas aquela de pegar o carro, hahahahaah..nao deixarei essa lembranca morrer 😂😂😂",23,,0,sem_categoria,0,neutro,0,0
aufmaweg,aufmaweg,"Com 16 anos minha mãe disse q na casa dela eu tinha teto e comida e se eu quisesse algo mais que eu fosse trabalhar. Com 17 eu passei a me sustentar 100%, morando sozinha, nunca recebi nenhum tipo de ajuda, passei muito perrengue. Adulto, meu irmão (mais novo) recebia o prato de comida na frente dele (no computador onde ele passava horas jogando), quando ele terminava minha mãe buscava. Ele tinha 24 anos quando eu presenciei minha mãe dando dinheiro pra ele sair, emprestando o carro dela (eu só tirei carteira com 32 quando eu finalmente tive dinheiro, ele ganhou de presente com 18) e perguntando onde ele ia, a resposta dele foi “não te interessa”, então ela perguntou se ele queria que ela passasse uma blusa pra ele usar. 🤡 nessa mesma visita ao rio ele tentou me bater por causa de uma discussão, eu gritei pra ele bater mesmo pra ele ver se não ia parar na cadeia na maria da penha. minha mãe parou de falar comigo 🤡 são tantos traumas e injustiças, eu poderia passar dias aqui escrevendo.",2023-01-16T06:37:52Z,"Jan 16, 2023",121w,5,189,"Com 16 anos minha mãe disse q na casa dela eu tinha teto e comida e se eu quisesse algo mais que eu fosse trabalhar. Com 17 eu passei a me sustentar 100%, morando sozinha, nunca recebi nenhum tipo de ajuda, passei muito perrengue. Adulto, meu irmão (mais novo) recebia o prato de comida na frente dele (no computador onde ele passava horas jogando), quando ele terminava minha mãe buscava. Ele tinha 24 anos quando eu presenciei minha mãe dando dinheiro pra ele sair, emprestando o carro dela (eu só tirei carteira com 32 quando eu finalmente tive dinheiro, ele ganhou de presente com 18) e perguntando onde ele ia, a resposta dele foi “não te interessa”, então ela perguntou se ele queria que ela passasse uma blusa pra ele usar. 🤡 nessa mesma visita ao rio ele tentou me bater por causa de uma discussão, eu gritei pra ele bater mesmo pra ele ver se não ia parar na cadeia na maria da penha. minha mãe parou de falar comigo 🤡 são tantos traumas e injustiças, eu poderia passar dias aqui escrevendo.",183,,3,diferenciacao_domestica,0,neutro,0,0
michellemanto,michellemanto,"Tirei carta com 18, meu pai nunca deixou eu pegar o carro sozinha. Meu irmão tirou depois de mim com a mesma idade e nunca vi ser impedido. Resultado, não dirijo até hoje aos 40, mesmo com carteira em dia",2023-01-16T06:07:12Z,"Jan 16, 2023",121w,0,190,"Tirei carta com 18, meu pai nunca deixou eu pegar o carro sozinha. Meu irmão tirou depois de mim com a mesma idade e nunca vi ser impedido. Resultado, não dirijo até hoje aos 40, mesmo com carteira em dia",40,,0,sem_categoria,0,neutro,0,0
carolcedran,carolcedran,Somos 4 filhos. 1 homem e 3 mulheres. O homem nunca fez nenhuma atividade doméstica. E ao fazer 18 anos ganhou o primeiro carro. Nenhuma mulher ganhou.,2023-01-16T05:52:34Z,"Jan 16, 2023",121w,0,191,Somos 4 filhos. 1 homem e 3 mulheres. O homem nunca fez nenhuma atividade doméstica. E ao fazer 18 anos ganhou o primeiro carro. Nenhuma mulher ganhou.,27,,0,sem_categoria,0,neutro,0,0
maria_brigati,maria_brigati,"Eu ainda não posso ficar sozinha em casa com meu namorado de anos, mas meu irmão mais novo que começou a namorar agr pode fechar a porta e ficar sozinho com a namorada de 2 meses kkk sem contar que durante toda a minha vida se eu colocava ""muita"" comida no prato levava bronca, que era falta de educação e que poderia pegar menos e repetir depois.. pois meu irmão pode pegar uma quantidade nojenta de comida caindo do prato e acabar com a mistura logo de primeira, só significa que ele está com fome. Na casa de parentes eu tenho que ficar chateando pra que ele faça algo, e não só eu faça parte do time de mulheres que arrumam a mesa e lavam e secam a louça. Longa lista",2023-01-16T05:17:06Z,"Jan 16, 2023",121w,1,192,"Eu ainda não posso ficar sozinha em casa com meu namorado de anos, mas meu irmão mais novo que começou a namorar agr pode fechar a porta e ficar sozinho com a namorada de 2 meses kkk sem contar que durante toda a minha vida se eu colocava ""muita"" comida no prato levava bronca, que era falta de educação e que poderia pegar menos e repetir depois.. pois meu irmão pode pegar uma quantidade nojenta de comida caindo do prato e acabar com a mistura logo de primeira, só significa que ele está com fome. Na casa de parentes eu tenho que ficar chateando pra que ele faça algo, e não só eu faça parte do time de mulheres que arrumam a mesa e lavam e secam a louça. Longa lista",131,,3,diferenciacao_domestica,0,neutro,0,0
fabiane_jm,fabiane_jm,"Nossa! Isso sempre foi e ainda é discutido lá em casa. Quando criança as tarefas da casa eram divididas. Mas acabei ficando com as dele. Sair? Ir para festa? Só com ele... ficar na rua brincando? Jamais!rsrsr eu tinha que subir antes dele, ele na hora que quiser... Hoje adultos, ele mora com minha mãe ela faz almoço e lava roupa dele. Mesmo com todas as diferenças amo demais meu irmão. ❤️",2023-01-16T05:13:03Z,"Jan 16, 2023",121w,0,193,"Nossa! Isso sempre foi e ainda é discutido lá em casa. Quando criança as tarefas da casa eram divididas. Mas acabei ficando com as dele. Sair? Ir para festa? Só com ele... ficar na rua brincando? Jamais!rsrsr eu tinha que subir antes dele, ele na hora que quiser... Hoje adultos, ele mora com minha mãe ela faz almoço e lava roupa dele. Mesmo com todas as diferenças amo demais meu irmão. ❤️",72,,3,diferenciacao_domestica,0,neutro,0,0
veri.good,veri.good,"O programa da tv o irmão escolhe, a louça depois do almoço e da irmã (eu), ele sai e chega a hora que quer, a irmã só sai se avisar onde com que e volta cedo.... Ele trabalha pra comprar as coisas dele eu trabalho por frescura .... Isso e só o começo, até hj marmanjo tem 40 anos e não leva o prato nem na pia",2023-01-16T05:01:55Z,"Jan 16, 2023",121w,0,194,"O programa da tv o irmão escolhe, a louça depois do almoço e da irmã (eu), ele sai e chega a hora que quer, a irmã só sai se avisar onde com que e volta cedo.... Ele trabalha pra comprar as coisas dele eu trabalho por frescura .... Isso e só o começo, até hj marmanjo tem 40 anos e não leva o prato nem na pia",67,,2,diferenciacao_domestica,0,neutro,0,0
mayra_s_rios,mayra_s_rios,Lembro de chegar quase meia noite em casa da faculdade depois de ter trabalhado o dia todo fora e ter que me fazer o almoço do dia seguinte. Para o meu irmão que só trabalhava e não estudava minha mãe fazia comida e deixava prontinho 🤡,2023-01-16T04:52:41Z,"Jan 16, 2023",121w,0,195,Lembro de chegar quase meia noite em casa da faculdade depois de ter trabalhado o dia todo fora e ter que me fazer o almoço do dia seguinte. Para o meu irmão que só trabalhava e não estudava minha mãe fazia comida e deixava prontinho 🤡,46,,2,diferenciacao_domestica,0,neutro,0,0
mariah_fernandes_pimentel,mariah_fernandes_pimentel,"Em discussões com meus irmãos q ocorria entre nós em especial na hora do almoço, o motivo das brigas geralmente eram por causa da falta de educação deles, algo q me irritava demais, e sempre era de firma proposital p me irrirar mesmo, minha mãe me retirava da mesa e eu tinha q comer em outro comodo, e eles q fizeram toda porcaria na mesa continuavam a almoçar, eu sintia muita raiva mas hj eu sinto pena.",2023-01-16T04:13:28Z,"Jan 16, 2023",121w,1,196,"Em discussões com meus irmãos q ocorria entre nós em especial na hora do almoço, o motivo das brigas geralmente eram por causa da falta de educação deles, algo q me irritava demais, e sempre era de firma proposital p me irrirar mesmo, minha mãe me retirava da mesa e eu tinha q comer em outro comodo, e eles q fizeram toda porcaria na mesa continuavam a almoçar, eu sintia muita raiva mas hj eu sinto pena.",77,,1,diferenciacao_liberdades,-1,negativo,1,1
mariah_fernandes_pimentel,mariah_fernandes_pimentel,"Esse é um tema que mexe consigo: qndo era criança minha mãe obrigava eu e minha irmã arrumar a cama dos meu três irmãos ( detalhe, era arrumar p eles dormirem, esticar as cobertas e afofar os travesseiros) e todas as outras tarefas nunca foram divididas com eles, sempre nós q fazíamos enquanto eles brincavam.",2023-01-16T04:09:42Z,"Jan 16, 2023",121w,1,197,"Esse é um tema que mexe consigo: qndo era criança minha mãe obrigava eu e minha irmã arrumar a cama dos meu três irmãos ( detalhe, era arrumar p eles dormirem, esticar as cobertas e afofar os travesseiros) e todas as outras tarefas nunca foram divididas com eles, sempre nós q fazíamos enquanto eles brincavam.",55,,1,diferenciacao_domestica,0,neutro,0,0
mar_vieira,mar_vieira,"Eu tive que aprender a fazer todas as taferas de casa, inclusive a cama do meu irmão, ele nunca precisou fazer nem a própria cama. Eu era obrigada a ir para a igreja aos domingos, ele era livre pra fazer o que queria. Ele recebia mesada pra sair com os amigos, eu não. A diferença era tanta que ele me batia frequentemente e eu chovara escondida porque tinha medo de pedir ajuda e ser repreendida.",2023-01-16T04:09:11Z,"Jan 16, 2023",121w,1,198,"Eu tive que aprender a fazer todas as taferas de casa, inclusive a cama do meu irmão, ele nunca precisou fazer nem a própria cama. Eu era obrigada a ir para a igreja aos domingos, ele era livre pra fazer o que queria. Ele recebia mesada pra sair com os amigos, eu não. A diferença era tanta que ele me batia frequentemente e eu chovara escondida porque tinha medo de pedir ajuda e ser repreendida.",75,,2,diferenciacao_domestica,0.25,positivo,0.25,2
rafa.liam.lala,rafa.liam.lala,"Eles podiam sair e eu não... Eles eram mais velhos mas eu tinha que olhar eles, cozinhar pra eles... Um dia meu irmão fugiu e meu pai me culpou e fez eu buscar ele...",2023-01-16T03:50:20Z,"Jan 16, 2023",121w,0,199,"Eles podiam sair e eu não... Eles eram mais velhos mas eu tinha que olhar eles, cozinhar pra eles... Um dia meu irmão fugiu e meu pai me culpou e fez eu buscar ele...",34,,2,diferenciacao_domestica,0,neutro,0,0
lucimara_cchagas,lucimara_cchagas,"Eu e minhas irmãs fomos criadas por tias e avôs maternos, pois perdemos nossa mãe na infância, tínhamos que fazer sempre as tarefas domésticas e não podíamos brincar sem antes realizar os afazeres, enquanto nosso primo não tinha essa obrigação de cuidar da casa, e ainda éramos chingadas de porcas e preguiçosas pelos parentes que lá frequentavam.",2023-01-16T03:48:48Z,"Jan 16, 2023",121w,0,200,"Eu e minhas irmãs fomos criadas por tias e avôs maternos, pois perdemos nossa mãe na infância, tínhamos que fazer sempre as tarefas domésticas e não podíamos brincar sem antes realizar os afazeres, enquanto nosso primo não tinha essa obrigação de cuidar da casa, e ainda éramos chingadas de porcas e preguiçosas pelos parentes que lá frequentavam.",57,,1,diferenciacao_domestica,0,neutro,0,0
heloisafroner,heloisafroner,"Sofri muitoooooo com o machismo em casa durante toda a infância e adolescência. Hoje ainda sofro, mas consigo me defender mais.",2023-01-16T03:41:21Z,"Jan 16, 2023",121w,0,201,"Sofri muitoooooo com o machismo em casa durante toda a infância e adolescência. Hoje ainda sofro, mas consigo me defender mais.",21,,2,diferenciacao_domestica,-0.5,negativo,0.5,1
carolinnecouti,carolinnecouti,"Resumindo, meu irmão podia fazer o que quiser, eu não podia fazer nada, quando eu queria sair meu pai obrigada meu irmão ir junto e ainda falava “vigia ela”. Sai de casa com 25 anos, fugida, hoje tenho minha família e meu pai implora pra me ver, pra ver minha filha.",2023-01-16T03:31:01Z,"Jan 16, 2023",121w,0,202,"Resumindo, meu irmão podia fazer o que quiser, eu não podia fazer nada, quando eu queria sair meu pai obrigada meu irmão ir junto e ainda falava “vigia ela”. Sai de casa com 25 anos, fugida, hoje tenho minha família e meu pai implora pra me ver, pra ver minha filha.",51,,2,diferenciacao_domestica,0,neutro,0,0
aracyrozas,aracyrozas,"Quando meu irmão aprontava, aconteceu da gente apanhar junto, tinha nada a ver com aquilo. Meu irmão recebeu ajuda financeira e ganhou um carro quando saiu da casa de mainha pra casa da tia, mesmo tendo transporte coletivo gratuito pra faculdade particular paga pela família. Comprei meu primeiro carro com quase 30 anos totalmente sozinha.",2023-01-16T03:17:24Z,"Jan 16, 2023",121w,1,203,"Quando meu irmão aprontava, aconteceu da gente apanhar junto, tinha nada a ver com aquilo. Meu irmão recebeu ajuda financeira e ganhou um carro quando saiu da casa de mainha pra casa da tia, mesmo tendo transporte coletivo gratuito pra faculdade particular paga pela família. Comprei meu primeiro carro com quase 30 anos totalmente sozinha.",55,,2,diferenciacao_domestica,0,neutro,0,0
niviaspaiva,niviaspaiva,Nossa mas não teria espaço pra contar tudo viu. Eu hoje sou tida como a estressadinha e meu irmão o de boa de casa. Imaginem porquê…,2023-01-16T03:06:26Z,"Jan 16, 2023",121w,1,204,Nossa mas não teria espaço pra contar tudo viu. Eu hoje sou tida como a estressadinha e meu irmão o de boa de casa. Imaginem porquê…,26,,2,diferenciacao_domestica,0,neutro,0,0
gporchera,gporchera,"Que orgulho em dizer que isso não aconteceu comigo. Tenho um irmão mais velho. Divisão de tarefas domésticas entre ambos de forma igual. Meu irmão lavava banheiro. Louça? Cada um lavava a sua. Arrumávamos nossas camas. A cama da minha mãe, arrumação em dias alternados por cada um. E ai do meu irmão se reclamasse.",2023-01-16T02:57:49Z,"Jan 15, 2023",121w,1,205,"Que orgulho em dizer que isso não aconteceu comigo. Tenho um irmão mais velho. Divisão de tarefas domésticas entre ambos de forma igual. Meu irmão lavava banheiro. Louça? Cada um lavava a sua. Arrumávamos nossas camas. A cama da minha mãe, arrumação em dias alternados por cada um. E ai do meu irmão se reclamasse.",55,,1,diferenciacao_domestica,1,positivo,1,1
sttefaniamendes,sttefaniamendes,"Aos 13 pra 14 anos implorei pra minha mãe deixar eu trabalhar “fora”, pois não aguentava ver meus irmãos mais velhos que voltavam da escola, com almoço quente e eu sempre tinha que cuidar da louca depois enquanto eles iam jogar videogame ou assistir Tv.. além de que um deles dizia aos amigos que eu era empregada da casa e não irmã.. só soube disso aos 16 anos qdo namorei um amigo deles.. revoltante!",2023-01-16T02:56:30Z,"Jan 15, 2023",121w,0,206,"Aos 13 pra 14 anos implorei pra minha mãe deixar eu trabalhar “fora”, pois não aguentava ver meus irmãos mais velhos que voltavam da escola, com almoço quente e eu sempre tinha que cuidar da louca depois enquanto eles iam jogar videogame ou assistir Tv.. além de que um deles dizia aos amigos que eu era empregada da casa e não irmã.. só soube disso aos 16 anos qdo namorei um amigo deles.. revoltante!",74,,5,diferenciacao_domestica,0,neutro,0,0
anaclaudia_gs,anaclaudia_gs,"Dou exemplos de hoje, da vida adulta mesmo. São 3 filhos homens e 2 mulheres aqui. Sou preteridissima, um exemplo é a dirigir pro meu pai, só dirijo se não tiver nenhum dos meus irmãos pra dirigir e meu pai tiver bebido. E até entres eles existe uma hierarquia, a preferência é sempre pelo mais velho e assim sucessivamente.",2023-01-16T02:55:55Z,"Jan 15, 2023",121w,0,207,"Dou exemplos de hoje, da vida adulta mesmo. São 3 filhos homens e 2 mulheres aqui. Sou preteridissima, um exemplo é a dirigir pro meu pai, só dirijo se não tiver nenhum dos meus irmãos pra dirigir e meu pai tiver bebido. E até entres eles existe uma hierarquia, a preferência é sempre pelo mais velho e assim sucessivamente.",59,,0,sem_categoria,0,neutro,0,0
kaa_maedooli,kaa_maedooli,"Meu irmão não lava a louça até hoje. Não ajuda em nada das tarefas domésticas. Tem 20 anos. Minha irmã e eu fomos ensinadas desde bem pequenas a ajudar. Quando éramos maiores (a partir de uns 10 anos) já fazíamos todo o serviço da casa, inclusive lavar banheiro, e ele... ""Não, mas ele é menino..."" Tá lá. Com 20 anos, morando com o pai e a mãe sem saber nem lavar uma cueca. 🤷🏻‍♀️",2023-01-16T02:51:40Z,"Jan 15, 2023",121w,0,208,"Meu irmão não lava a louça até hoje. Não ajuda em nada das tarefas domésticas. Tem 20 anos. Minha irmã e eu fomos ensinadas desde bem pequenas a ajudar. Quando éramos maiores (a partir de uns 10 anos) já fazíamos todo o serviço da casa, inclusive lavar banheiro, e ele... ""Não, mas ele é menino..."" Tá lá. Com 20 anos, morando com o pai e a mãe sem saber nem lavar uma cueca. 🤷🏻‍♀️",74,,1,diferenciacao_domestica,0,neutro,0,0
luciene.ps19,luciene.ps19,"Meus irmãos não faziam nenhum serviço doméstico, tudo ficava para eu, minha irmã ou minha mãe. E as vezes ainda passavam na hora que eu estava limpando a casa para atrapalhar",2023-01-16T02:42:39Z,"Jan 15, 2023",121w,0,209,"Meus irmãos não faziam nenhum serviço doméstico, tudo ficava para eu, minha irmã ou minha mãe. E as vezes ainda passavam na hora que eu estava limpando a casa para atrapalhar",31,,2,diferenciacao_domestica,0,neutro,0,0
selvarelva,selvarelva,"Eu e meu irmão ainda não nos estruturamos na vida. Ficamos muito perdidos profissionalmente. Nossos pais sempre mantiveram a gente por perto através do dinheiro. Fiz muitas escolhas erradas para ficar perto deles. Só que eu percebi a dinâmica e saí. Tô me f* de um tanto pra conseguir me estabilizar que nem sei resumir. Meu irmao tem todas as contas pagas morando nos EUA, nao tem pressa de arranjar um emprego. Ate meu primo recebeu dinheiro dos meus pais pro negocio dele. Meus pais nao sao obrigados a me dar nada, mas me chateia a diferenca de tratamento e a nao receber o mesmo apoio. Eu to trabalhando dia e noite pra consolidar um negocio. Eu sinto que inconscientemente meus pais querem que a minha empreitada atual dê errado. Toda vez q fico desesperada e peço ajuda, eu recebo alguma ajuda simbolica, mas sou bem humilhada. É bastante insuportavel.",2023-01-16T02:36:48Z,"Jan 15, 2023",121w,0,210,"Eu e meu irmão ainda não nos estruturamos na vida. Ficamos muito perdidos profissionalmente. Nossos pais sempre mantiveram a gente por perto através do dinheiro. Fiz muitas escolhas erradas para ficar perto deles. Só que eu percebi a dinâmica e saí. Tô me f* de um tanto pra conseguir me estabilizar que nem sei resumir. Meu irmao tem todas as contas pagas morando nos EUA, nao tem pressa de arranjar um emprego. Ate meu primo recebeu dinheiro dos meus pais pro negocio dele. Meus pais nao sao obrigados a me dar nada, mas me chateia a diferenca de tratamento e a nao receber o mesmo apoio. Eu to trabalhando dia e noite pra consolidar um negocio. Eu sinto que inconscientemente meus pais querem que a minha empreitada atual dê errado. Toda vez q fico desesperada e peço ajuda, eu recebo alguma ajuda simbolica, mas sou bem humilhada. É bastante insuportavel.",150,,1,diferenciacao_material,0,neutro,0,0
