usuario,perfilLink,textoComentario,timestamp,dataFormatada,tempoExibido,likes
valkeka01,valkeka01,"Eu cheguei depois adotada fui abusada , não fui a filha preferida nem de longe.Muitas humilhações.... tantas coisas ruins",2023-01-15T21:01:22.000Z,"Jan 15, 2023",122w,0
zaradge,zaradge,"Meu irmão é mais velho que eu 6 anos. Nossa vó comprova pacote de biscoito Bono pra gente lanchar quando éramos pequenos, e a divisão era super “justa”: se o pacote tinha, sei lá, 12 biscoitos, 9 eram do meu irmão e 3 eram meus. 😢",2023-01-15T21:00:43.000Z,"Jan 15, 2023",122w,0
_mariabrisa_,_mariabrisa_,"Isso acontece tanto com as filhas quanto com os filhos homens quando os pais preferem a filha mulher e excluem o filho homem, por alguma razão que eu não sei explicar kk",2023-01-15T21:00:27.000Z,"Jan 15, 2023",122w,0
dutra.sartoro,dutra.sartoro,"Irmão não ajuda em nada, não arruma nem a cama. Pode sair com quem quiser, que é macho!",2023-01-15T20:59:07.000Z,"Jan 15, 2023",122w,0
naathgds,naathgds,"""Ele não pode/ vai fazer, pq é menino. Não tem q fazer essas coisas!"" Pior q essa frase vinha da minha mãe, q nunca gostou de fazer nada doméstico.🤡",2023-01-15T20:57:08.000Z,"Jan 15, 2023",122w,0
blessed.godisgood,blessed.godisgood,Qd criança meu pai só ensinava meu irmão a dirigir e eu ficava olhando... sou a mais velha.. Tirei carteira e e meu pai falou que eu paguei pra passar...,2023-01-15T20:56:10.000Z,"Jan 15, 2023",122w,0
carolpadovezi,carolpadovezi,Não consigo,2023-01-15T20:55:55.000Z,"Jan 15, 2023",122w,0
alinevvieira,alinevvieira,"Graças a Deus minha mãe nunca favoreceu os homens, eu e minha irmã mandávamos no meu irmão caçula e nunca tivemos obrigações domésticas, fomos todos valorizados para estudar e trabalhar. Até hoje, todos nós cinqüentenários, meu irmão toma conselhos conosco.",2023-01-15T20:55:14.000Z,"Jan 15, 2023",122w,0
aureamaira,aureamaira,"Meu pai dizia que meu irmão não tinha que ajudar nas tarefas da cozinha porque ele era homem. Ainda bem que meu irmão, apesar disso, virou um cara legal.",2023-01-15T20:55:08.000Z,"Jan 15, 2023",122w,0
danigerimias,danigerimias,"Você não pode ir ao shopping sozinha, vc só pode sair se seu irmão ir junto, não pode ficar na rua até tarde, deixe o computador no quarto do seu irmão pq na internet tem coisa que vc não pode ver, sua blusa esta muito decotada, sente direito, uma moça não fala palavrão, que feio uma menina reprovar de ano........vc não pode pq é perigoso e vc não vai, pq vc é MULHER....",2023-01-15T20:54:15.000Z,"Jan 15, 2023",122w,0
carolinematos_,carolinematos_,"Mesmo sendo a mais nova, tinha que limpar a casa toda ( bem grande) enquanto eles limpavam apenas o quarto deles.",2023-01-15T20:53:48.000Z,"Jan 15, 2023",122w,0
beyoga.brunaveloso,beyoga.brunaveloso,Vixe…. Da um livro!,2023-01-15T16:37:39.000Z,"Jan 15, 2023",122w,0
clarissa_odloak,clarissa_odloak,Tive sorte. Meus pais investiram e cuidaram igualmente nos dois filhos.,2023-01-15T16:38:03.000Z,"Jan 15, 2023",122w,0
gassjoice,gassjoice,"Lá em casa eram 3 mulheres e nossa mãe, em empregada doméstica nos criou igualmente. Apesar de ser do interior, ela tinha uma cabeça mto boa, eu fui privilegiada pq era mais “ativa”, sou a caçula, porém teve uma diferença mto grande que não coube a minha mãe, mas sim ao meu jeito de ser, minha personalidade, eu falava tudo pra minha mãe, na adolescência, dos namoradinhos… tudo! Minhas irmãs já tratavam minha mãe com uma certa barreira de tabu… qnd minha mãe se foi fiquei sem chão obviamente. Mas o que mais me marcou, por ser uma educação tradicional, foi qnd minha mãe disse que nenhuma de nós deveria casar virgem, pq se não nos acertássemos com nosso parceira na vida sexual, era algo que precisávamos descobrir antes de casar. Achei lindo!",2023-01-15T16:38:21.000Z,"Jan 15, 2023",122w,4
dani.alves.fer,dani.alves.fer,Eu só tive irmãs,2023-01-15T16:39:02.000Z,"Jan 15, 2023",122w,0
mayanatn,mayanatn,"Não só por irmãos homens mas tenho uma irmã mais velha que nunca fazia nada dentro de casa. Não lavava uma louça, mas eu fui ensinada a desde cedo fazer isso. E diziam: não pode fazer barulho pq ela está estudando (as vezes ela só tava dormindo mesmo). Por isso nunca quis ter mais de um filho. Tenho uma filha e vai ser assim se Deus quiser, tenho medo de ser uma mãe com um preferido.",2023-01-15T16:39:18.000Z,"Jan 15, 2023",122w,0
michelyborges01,michelyborges01,"Eu tinha que ajudar na limpeza da casa e quando reclamava pq meu irmão só precisava lavar a louça e podia sair pra brincar na rua. Quando eu questionei, meus pais disseram que ele eo⁰ra menino e que isso é função de meninas. Disseram que ficam com pena pq os amigos vinham chamá-lo pra jogar bola no portão.",2023-01-15T16:40:09.000Z,"Jan 15, 2023",122w,0
lilly_vianna,lilly_vianna,"Eita! São MUITAS maneiras diferentes de mostrar. Ex: até pra ir pra escola eu tinha que lavar a louca do almoço antes. Meus irmãos ficavam de boa assistindo tv. Lavava e passava roupas de todos da casa, meus irmãos não precisavam. Almoço tbm fazia. Um dia perguntei pq meus irmão não tinham que limpar a casa tbm , a resposta foi pq eles são homem, vc é mulher tem que aprender pra fazer na sua casa, eles não. Tem mais",2023-01-15T16:40:30.000Z,"Jan 15, 2023",122w,0
marinamwatts,marinamwatts,Prefiro nem comentar pra não ficar chateada.. já avisei minha mãe que a raiva pelas mulheres acaba na minha geração. Ela não será passada para as minhas filhas.,2023-01-15T16:40:38.000Z,"Jan 15, 2023",122w,407
daiana_schutzler,daiana_schutzler,"Nossa, dá um livro!!!",2023-01-15T16:40:54.000Z,"Jan 15, 2023",122w,0
lucianamonteirorj,lucianamonteirorj,"No carro, os meninos sentavam na janela e na frente. As meninas, só podiam quando eles não estavam.",2023-01-15T16:41:02.000Z,"Jan 15, 2023",122w,2
ta.li.ta.siq,ta.li.ta.siq,"Tenho 2 irmãos mais velhos, eu era ensinada a cuidar da casa junto com minha mãe, a me calar e aceitar tudo que me era imposto mas sempre cultivei muito raiva e indignação disso. Lembro de minha mãe me mandando arrumar a cama dos meus irmãos e me responsabilizando pelas coisas da casa. Fora toda toda a carga psicóloga dos desalinhos da relação, sempre fui lastro emocional da minha mãe. Para sair eu só podia ir se escoltada pelos irmãos, uma relação de poder que eles tinham, eu tinha que ser submissa a eles caso quisesse ir, pois eles tinham que concordar em me “vigiar”. Na época da juventude, dos namorados, o tratamento era ultra diferente, qnd fui viajar pela primeira vez com namorado foi peitando e arrumando uma encrenca absurda, meu pai deixando de falar comigo. Meus irmão ganharam carteira de motorista aos 18 eu tive que trabalhar pra conseguir pagar meu processo de habilitação, só com 21, fora prestar vestibular em universidades fora da minha cidade, eles tinham total apoio e eu zero…. Marcas incontáveis, profundas que são tratadas até hoje.",2023-01-15T16:41:15.000Z,"Jan 15, 2023",122w,0
talita_pinotti,talita_pinotti,"Uma vez eu estava dormindo no sofá, devia ter uns 10 anos, e acordei de madrugada com minha mãe pai me chamando pra ir para cama, mas eu acordei falando: Vou lavar a louça primeiro pq se não o papai fica bravo... Minha mãe ficou mal...",2023-01-15T16:41:33.000Z,"Jan 15, 2023",122w,0
sheilalvessm,sheilalvessm,eu era a pior e ele sempre o melhor 😢,2023-01-15T16:41:34.000Z,"Jan 15, 2023",122w,0
renatafveiga,renatafveiga,"Eu era a mais velha, mas meu irmão mais novo podia dirigir o carro do papai sem carteira. E tinha liberdade para ir e vir e eu não. Resultado: tirei minha carteira (papai pagou), e fui escondida comprar meu carro com meu salário. Cheguei com o carro em casa e todo mundo assustou. Aí começou minha liberdade.",2023-01-15T16:41:47.000Z,"Jan 15, 2023",122w,0
lorennacpontes,lorennacpontes,A lista é tão gigante que eu nem tenho coragem de colocar ela aqui. 😢 Hj tenho a oportunidade de ser JUSTA com os meus dois amados filhos!,2023-01-15T16:41:50.000Z,"Jan 15, 2023",122w,0
talita_pinotti,talita_pinotti,"Em uma casa com 3 irmãos homens e um pai, serviço de casa era coisa de mulher...",2023-01-15T16:41:59.000Z,"Jan 15, 2023",122w,0
vivianerodriguesl,vivianerodriguesl,"Meu pai colocava meu irmão no colo pra “dirigir” com ele desde os 5 anos, mas nunca me deu suporte quando eu já estava na auto escola fazendo aulas.",2023-01-15T16:42:05.000Z,"Jan 15, 2023",122w,0
psidaniellemartins,psidaniellemartins,Depois de adulta me toquei que a condição para ser amada era minha capacidade de limpar a casa e não decepcionar os pais. Já meu irmão simplesmente foi amado incondicionalmente.,2023-01-15T16:42:10.000Z,"Jan 15, 2023",122w,74
mariana23f,mariana23f,Sempre tive que arrumar e cuidar da casa. Meus irmãos mais novos não podiam ter trabalhos domésticos pq isso poderia ‘afetar’ a orientação sexual dos meninos.🤦🏻‍♀️,2023-01-15T16:42:24.000Z,"Jan 15, 2023",122w,1
lauramsbraga,lauramsbraga,Nossa a lista é enorme. Hj tenho 26 e meu irmão 31. Desde os meus 11 eu arrumo cozinha e aos 15 já fazia comida. Até hj arrumam a cama dele e ele não sabe fazer uma compra de supermercado. A desculpa é sempre “ele é homem e não sabe nada” “ele não vai saber escolher essas verduras” “se eu não arrumar vai ficar bagunçado”. E agora ele desbloqueou uma nova função: fazer xixi fora do vaso 🤡,2023-01-15T16:42:30.000Z,"Jan 15, 2023",122w,0
eu.ericat,eu.ericat,"Meu pai gostava de exibir os filhos: meu irmão pelas conquistas acadêmicas e profissionais e eu e minha irmã pela beleza. Eu não podia dormir fora de casa, festa só se meu irmão acompanhasse... para ele, obviamente, não havia os mesmos impedimentos.",2023-01-15T16:42:53.000Z,"Jan 15, 2023",122w,0
sampaaiogi,sampaaiogi,Nossa hahaha achei que fosse só na minha casa!,2023-01-15T16:43:06.000Z,"Jan 15, 2023",122w,0
ritzelschneider,ritzelschneider,"Aqui, esse post foi perfeito para o dia de hoje. Reflexões e sequelas no núcleo familiar por essa questão, muito pertinente de ser falada e debatida. Nosso relato, tanto mulher e homem do nosso núcleo, sentirmos ter sofrido tanta violência emocional que decidimos que nosso filho não teria irmãos.",2023-01-15T16:43:08.000Z,"Jan 15, 2023",122w,0
beatriznosbeats,beatriznosbeats,"Vish, não cabe só nos comentários não mas uma das coisas que passei é que, eu fazia tudo em casa para todos, nos últimos anos que morei na casa até cozinhava para todos e as vezes não sobrava comida pra mim depois que eu tomava banho pra comer limpa 🤡. Éramos em cinco e eu a única filha mulher e apesar de me doar para todos, mediar conflitos, conflitava com os três machos, claro, mas eu era a vice-matriarca já que minha mãe era doente e ainda assim eu era rotulada de briguenta ( porque reclamava os absurdos ), de não ser amorosa e que eu fazia as coisas de qualquer jeito, risos. Ignoravam o comportamento péssimo do meu irmão mais velho e o meu irmão mais novo levava a fama do filho mais carinhoso e o que mais ajudava minha mãe, risos, o que ele fazia era pega-la no colo as vezes para transporta-la de ambientes coisa que eu não tinha estrutura pra fazer mas dava meu jeito de transporta-la sozinha quando não tinha nem em casa",2023-01-15T16:43:50.000Z,"Jan 15, 2023",122w,0
glaucia_luna,glaucia_luna,"Eu tinha que arrumar a casa, lavar os pratos, fazer o almoço, enquanto meu irmão brincava na rua. Não podia sair do banho antes de lavar as calcinhas, não podia viajar com amigos, uma imensa lista...",2023-01-15T16:43:58.000Z,"Jan 15, 2023",122w,1
gabiqueiroz.adv,gabiqueiroz.adv,"Dentre outras coisas, o fato dele não der cobrado a se tornar um adulto funcional. Ele não podia por a mão na louça pra não correr o risco de ""virar gay"", segundo minha mãe. Hoje é um adulto desempregado que continua na casa dela, esperando que suas cuecas sejam lavadas. 🤡",2023-01-15T16:44:58.000Z,"Jan 15, 2023",122w,6
gabiqueiroz.adv,gabiqueiroz.adv,@gabiqueiroz.mistura *não ter sido,2023-01-15T16:45:21.000Z,"Jan 15, 2023",122w,0
mariana23f,mariana23f,Na 3 série meu irmão do meio teve problemas na escola e meus pais resolveram colocá-lo numa escola mais forte pq ele precisava. Fiquei indignada e passei mais um ano na escola mais fraca até resolverem me transferir também.,2023-01-15T16:45:01.000Z,"Jan 15, 2023",122w,1
mhellorto,mhellorto,Minha irmã e eu pudemos brincar na rua até certa idade (9 anos). Meu irmão pôde continuar brincando.,2023-01-15T16:45:13.000Z,"Jan 15, 2023",122w,0
angeeljunqueira,angeeljunqueira,O preconceito começa pelos pais infelizmente! Tive um irmão mais novo e adivinha?! Tudo era mas minhas costas ! Nem cama o príncipe podia arrumar e eu ficava só o ódio pq sempre fui organizada e ainda dividia quarto com ele ! Fora o preconceito q ele podia tudo pq era homem! Hj está mas costas dos meus pais com 3 filhos e minha mãe de empregada do meu irmão e cunhada!,2023-01-15T16:45:15.000Z,"Jan 15, 2023",122w,4
listaenxovaldobebe,listaenxovaldobebe,“Arruma o seu quarto que vou arrumar o do seu irmão” se eu reclamasse “nossa como vc é ciumenta” e até hj ouço coisas inverdades como “tem inveja do irmão“,2023-01-15T16:46:01.000Z,"Jan 15, 2023",122w,0
nessa_vanessammelo,nessa_vanessammelo,@leiamacmendes @vanicemacedo_ os comentários...,2023-01-15T16:46:04.000Z,"Jan 15, 2023",122w,0
cybellimaia,cybellimaia,"Já quebrei o rodo em meu irmão,enquanto estava fazendo a faxina ele passava sujando.Cheguei no limite neste dia.",2023-01-15T16:46:06.000Z,"Jan 15, 2023",122w,1
mayanatn,mayanatn,"Na minha família sempre percebi isso, homens sentados, mulheres na cozinha, ou fazendo cuidados com os filhos sozinhas, ou então limpando enquanto os homens continuavam quietos em seus cantos para não serem perturbados. Hoje com meu marido, faço muito mais que ele, mas ele faz a parte dele nas coisas onde não consigo. Ainda assim é o tipo que não lava louça, que não deixo minha filha aos cuidados pq ele é uma pessoa despreocupada, não se liga com horários pra ela comer ou tomar banho. Por mais que as pessoas falem ""mas tem que deixar com ele pra ele fazer"". Eu penso: vou deixar minha filha com alguém que não vai tomar conta direito (mesmo sendo o pai), onde ela vai ser a pessoa que não vai ficar bem? Não consigo. Quando preciso deixo com outra pessoa de minha confiança, quando não consigo deixo minha filha com ele, mas já com todos os cuidados feitos (ou orientações anotadas pra ele), pra quando eu chegar ela estar bem.",2023-01-15T16:46:16.000Z,"Jan 15, 2023",122w,0
camilasoares_cs,camilasoares_cs,"sempre levo isso pra terapia. meu irmão desde criança nunca teve castigos como eu, nunca foi cobrado para ajudar nas tarefas de casa… hoje já não moro mais com minha mãe e ele, mas ele com 17 anos pode dormir na casa da namorada, ficar com ela no quarto com porta fechada…",2023-01-15T16:46:21.000Z,"Jan 15, 2023",122w,0
ju_tbolzan,ju_tbolzan,Eu era bagunceira e meu quarto era “da bagunça”. Meu irmão era o organizado. (Mas minha mãe e a empregada arrumavam tudo pra ele) 😒,2023-01-15T16:46:31.000Z,"Jan 15, 2023",122w,1
samarafeitosabiscoito,samarafeitosabiscoito,"Minha mãe sempre tentou dar o mesmo tratamento ao meu irmão e a mim (sou de 78 e ele de 80). Nós dois ajudávamos nas tarefas de casa (limpar, fazer almoço,...). Ela estava a frente do seu tempo! Um belo dia deu uma camisinha pro meu irmão e uma pra mim. Fiquei morrendo de vergonha. Rs...",2023-01-15T16:46:33.000Z,"Jan 15, 2023",122w,0
wellida_ss,wellida_ss,"Quando meus irmãos adoeciam eu cuidava deles, mas quando eu adoecia ia na farmácia sozinha comprar remédio.",2023-01-15T16:46:48.000Z,"Jan 15, 2023",122w,0
fernanda_paulamattos,fernanda_paulamattos,"Fazia todos os serviços de casa, meu irmão não...além dele poder sair a hora que quisesse com quem quisesse...eu não podia pq eu era mulher....",2023-01-15T16:47:18.000Z,"Jan 15, 2023",122w,0
eusouaciele,eusouaciele,"Meu irmão sempre foi isento de fazer qualquer serviço doméstico, sempre deu 'trabalho' na escola e foi apenas taxado como um garoto sapeca... Já eu a primeira vez que fui parar na diretoria a minha mãe me xingou tanto e deixou de castigo por algo mínimo",2023-01-15T16:47:45.000Z,"Jan 15, 2023",122w,0
juneadrews,juneadrews,"Nossa, não cabe tudo aqui! Mas a filha mulher sempre tinha a obrigação de ajudar a arruma casa, PIOR, a cama do irmão e roupa do irmão. 90% da vezes me recusava porque sempre achei um absurdo. Cada um t a responsabilidade de arrumar suas coisas. Mas sempre cresci ouvindo que ele praticava muitas atividades, estava sempre cansado. Enfim, espero que essa perpetuação da criação machista termine.",2023-01-15T16:47:53.000Z,"Jan 15, 2023",122w,0
familiadubem,familiadubem,"Na minha família apesar de ser mais velha meu irmão sempre podia ir com meu pai nos lugares sozinho , ele sempre deixava meu irmão dirigir o carro no colo dele na rua sabe aquela parada de pai quando chega do trabalho pois é eu não podia era menina. Ele ganhou seu primeiro carro aos 17 e depois deu pt em dois eu fui ajudada a comprar um aos 30. Ele tirou carteira aos 18 repetiu duas vzs a prova , eu paguei com sacrifício aos 18 e quando repeti pedi dinheiro pra ajudar paga o duda da prova novamente meu pai disse que dirigir não era coisa pra mim é esquecer isso. Trabalhávamos na empresa da família e vcs já sabem né eu trabalhava mais e ganhava 1/3 do salário que ele trabalhando menos. Meu pai já montou 3 negócios pra ele que nunca dão certo e pra mim não rola porque não tenho perfil. E dolorido e sempre que entra no assunto eles dizem que eu exagero e tenho q entender que meu irmão era homem. Por último na hora do almoço os homens podiam sentar na mesa pra almoçar e as mulheres só depois que eles comecem imagina não sobrava quase nada . E dizem que machismo não existe.",2023-01-15T16:47:58.000Z,"Jan 15, 2023",122w,19
s.amanda.f,s.amanda.f,"Eu tenho 4 irmãos, sou a segunda. Só eu fazia o trabalho da casa, enquanto eles podiam só brincar, ou sair, ou fazer o que quisessem. Quando minha mãe saia, eu precisava parar de brincar para cuidar dos mais novos e não o irmão mais velho. Eu só tinha obrigações, eles os direitos.",2023-01-15T16:48:07.000Z,"Jan 15, 2023",122w,0
maezinhadojoao,maezinhadojoao,"Meu irmão e eu fomos criados somente pela minha mãe, e a mesma sempre fez questão de deixar bem claro que os direitos eram iguais. Todos os dois cozinham , os dois lavam roupa, os dois cuidam da casa. Os dois tem o mesmo horário de sair e voltar, os dois tem o direito de trazer os namorados para dormir em casa. Na minha casa e pela criação que a minha mãe deu aos dois, eu sempre soube que eu poderia fazer tudo o quanto quisesse tanto quanto o meu irmão. A minha mãe era uma mulher muito a frente do seu tempo, sensata, inteligente, humana, forte . Me fez entender que somente a gente ( meu irmão e eu) podemos nos parar.",2023-01-15T16:48:28.000Z,"Jan 15, 2023",122w,0
francesca_abreu,francesca_abreu,"Opa... Não tive direito fazer inglês e curso preparatório. Não podia ir pra festa se o meu irmão fosse. Não podia jogar futebol, vídeo game. Quando comprei ventilador com meu dinheiro, foi pra o quarto dele. A TV e videogame que era para os dois, ficava no quarto dele. Não podia ficar até mais tarde brincando. Ele ganhou carro. Pegou o outro da minha mãe. Me batia muito, me espancava. Me xingava. Me queimava para família. Não deixava eu brincar com os amigos dele. Tudo era primeiro pra ele. Não precisava arrumar casa, lavar louça, lavar banheiro. Hoje não ajuda financeiramente nenhum dos pais. E vem me pedir prioridade, amor, e amizade depois de uma vida inteira de m&rda, restos e violência física e psicológica.",2023-01-15T16:48:56.000Z,"Jan 15, 2023",122w,21
fernandabadin,fernandabadin,Mesma coisa lá em casa. Minha irmã e eu só podíamos sair oi receber amigos e namorado depois da casa toda limpa.,2023-01-15T16:49:09.000Z,"Jan 15, 2023",122w,0
dalva.png,dalva.png,"Sou a mais nova entre os irmãos (tenho uma irmã do meio e um irmão mais velho), cresci vendo a minha irmã sendo podada de coisas que o meu irmão podia fazer sem interferência alguma (ele saía de noite, ia pra festa e voltava podre de bêbado, viajava com os amigos). Em contrapartida eu via ela limpando a casa, cuidando da comida e de mim enquanto a minha mãe estava no trabalho (e meu genitor vivendo a vida viajando pq a profissão dele era motorista de ônibus ou caminhão). Raras foram as vezes que vi meu irmão lavando as louças, limpando o próprio quarto ou a casa, banheiro e etc. Vi inúmeras vezes a minha irmã tentando se posicionar e correndo o risco de ser agredida por ele (num dado episódio eu vi ele socar o freezer pq ela tinha desviado, senão o soco teria ido no rosto dela). Na fase adulta, meu irmão continua não limpando o banheiro, não dando descarga, não lavando o que suja, descarrega os problemas pessoais em cima de quem estiver na reta (seja falando ou sendo passivo-agressivo). Não tem a mínima capacidade de ter uma conversa civilizada se o assunto for algo que ele precisa ajustar para melhorar o convívio e sempre apela pela ameaça de agressão física/gritos. Come tudo o que tem de diferente e não repõe (e ainda faz escândalo se alguém questionar, dizendo que estávamos com “dó” de comida). Inúmeras vezes fiquei sem almoço ou janta pq ele ignorava que tinha mais gente pra comer depois dele (e a minha mãe não falava nada, avisava quando a comida estava pronta e falava pra ir logo senão iríamos ficar sem). E por aí vai, lista longa 🤡",2023-01-15T16:49:10.000Z,"Jan 15, 2023",122w,4
daglyane_galdino_de_andrade,daglyane_galdino_de_andrade,"Não tive irmão, mas 2 irmãs, e mesmo assim senti a predileção, até hoje sinto, quando comento algo sou taxada de ciumenta, ou que minha vez já passou e coisas do tipo, sei que não é sobre isso o post, mas precisava falar.",2023-01-15T16:49:13.000Z,"Jan 15, 2023",122w,3
nhanhafacanhaisa,nhanhafacanhaisa,"Arrumar a casa enquanto os 3 machinhos lá de casa ficavam brincando? Pior arrumar as camas dos belos pq os alecrins dourados morreriam acredito eu se não o fizessem 😡,foram muitas outras coisas.Sempre me revoltei com isso, não aceitava e não fazia ,era chamada de atrevida e desobediente.",2023-01-15T16:49:14.000Z,"Jan 15, 2023",122w,0
simchafiszbein,simchafiszbein,Na minha casa eu tinha que ser responsável por arrumar meu quarto e recolher a roupa no meu armário. Meus irmãos não. Não reclamo de ter que fazer. Reclamo deles nunca terem sido cobrados a fazer tb.,2023-01-15T16:49:29.000Z,"Jan 15, 2023",122w,0
amy_lbbh,amy_lbbh,"Fui criada com um primo, a situação não foi diferente de algumas que vi aqui, era cobrada de ser sempre limpinha e saber manter limpo para um dia meu marido não achar ruim, mas vejo o lado do meu primo que ficava brincando e assistindo desenho, ai quando ele quebrava algo ou agia de forma mal educada brigavam com ele e batendo, pra ajudar apontavam pra mim como exemplo ""olha ela não responde é boazinha pq vc não é como ela"", fui usada de exemplo gerando um ódio nele que quando davam as costas ele me machucava ou quebrava meus brinquedos descontando o que ele recebia, a culpa dele era a minha e hoje ele está nas drogas desde a adolescência e eu sinto pena de verdade pq no fundo aquilo na infância foi uma forma de pedir carinho e atenção mas mesmo q serviam ele deitado no sofa como um rei não percebiam que esse excesso de agrado eles compensavam agredindo e falando palavras duras com ele",2023-01-15T16:49:36.000Z,"Jan 15, 2023",122w,0
patty.acunha,patty.acunha,"Esses dias prestei vestibular e minha mãe nem me perguntou como eu fui, já o outro Irmao fez o Enem e ela tava me pedindo ajuda pra procurar material de estudo pra ele… eu falei isso pra ela e ela me disse que pq ele sempre teve dificuldade em estudar e por isso ajudou ele…",2023-01-15T16:49:58.000Z,"Jan 15, 2023",122w,0
leticia.sa.5030,leticia.sa.5030,"Só eu que tinha que aprender a fazer os serviços de casa, cozinhar e lavar a louça, meu irmão pq era novo e MENINO temos so 4 anos de diferença de idade",2023-01-15T16:50:00.000Z,"Jan 15, 2023",122w,0
larisse_camila,larisse_camila,"Ensinaram meu irmão a dirigir aos 13 anos. Eu, cinco anos mais velha, era doida pra aprender, mas não era considerada capaz e foi só aos 18 anos que começaram a me ensinar, pouco antes de começar a auto escola.",2023-01-15T16:50:24.000Z,"Jan 15, 2023",122w,0
dcalheiros2,dcalheiros2,"Em casa somos 2 irmãs e um irmão. Eu a mais velha e meu irmão o caçula. Enquanto as meninas chegavam da escola e iam ajudar nas tarefas da casa meu irmão nunca lavou um copo. Além disso sempre foi o queridinho do nosso pai, que desde a minha chegada já queria um filho homem. Ainda continua a preferí-lo e mais, meu filho caçula, único neto, também é tratado de forma diferente pelo avô.",2023-01-15T16:50:29.000Z,"Jan 15, 2023",122w,0
cyntiaaraujoo,cyntiaaraujoo,"Eu não podia sair, só saia se fosse escondida. Namorar? só dentro de casa. Dormir com namorado? jamais. Meu irmão pode dormir em casa com a namorada, tomar banho junto.. Nunca levou um nao pra sair, pelo contrário.. meu pai arrumou até carro pra que ele tivesse essa liberdade de ir e vir na hora que quisesse. Ele é uma pessoa incrível, minha cunhada tbm, mas com relação a meus pais, eu tenho certeza que deram esses privilégios por ser ele ser homem.",2023-01-15T16:50:32.000Z,"Jan 15, 2023",122w,0
martha.b.0406,martha.b.0406,"Minha mãe falava “segura as éguas que meu garanhão tá solto”, mandando o filho comer as águas dos outros e segurando as dela. Resumo: gravidez não planejadas e super indesejada. O maior medo dela era o filho “cair no golpe da barriga” e voilá!",2023-01-15T16:50:35.000Z,"Jan 15, 2023",122w,0
pampam.pamelita,pampam.pamelita,"É um crime o que fazem com as meninas. E, infelizmente, ainda faltam mais de 100 anos para que as coisas mudem.",2023-01-15T16:50:44.000Z,"Jan 15, 2023",122w,0
sousas108,sousas108,"Meus irmãos nunca fizeram nada dentro de casa, era obrigação sempre das mulheres, eles não iam comprar nada para eles próprios comerem pq tinham irmãs e se a gente não fosse, apanhava, não podíamos sair para se divertir, apenas estudar, os homens sempre trouxeram meninas diferentes para casa, dormiam fora, saiam sempre que tinham vontade, podiam tudo, éramos cobradas se íamos mal na escola, se não fazíamos uma tarefa em casa, por ser mulher não podíamos fazer nada, apenas cuidar da casa enquanto eles se divertiam.",2023-01-15T16:51:56.000Z,"Jan 15, 2023",122w,0
anacarolinacardoso.91,anacarolinacardoso.91,"Não tive irmãos, era eu e minha irmã, mas quando minha mãe fazia as coisas de casa meu pai sempre falava: ""Você tem duas mulheres dentro de casa! Coloca ela pra fazer as coisas!"" Duvido se fosse dois homens ele iria falar isso",2023-01-15T16:52:34.000Z,"Jan 15, 2023",122w,0
manzano201,manzano201,"Muito triste ler os comentários...e ver que ainda hj com mais de 40 anos numa festa com adultos, depois do jantar os homens todos sentam no jardim e as mulheres vão lavar a louça e arrumar a casa, depois do abraço de ""feliz ano novo""..de mentira, né?!...porque dizer ""eu te desejo o bem, mas o trabalho chato vc faz sozinha enquanto eu descanso"" é o mesmo que dizer que vc vale menos que eu...em pleno 2022/2023...",2023-01-15T16:52:43.000Z,"Jan 15, 2023",122w,31
1234567cra,1234567cra,Eu me sentia muito cobrada por ter que limpar casa e privada enquanto meu irmão jogava videogame. Mas na época a madrasta dizia que eu tinha que fazer alguma coisa pois tinha teto sobre minha cabeça e comida na mesa. Quando ela abriu uma loja eu precisava chegar da escola que ia e voltava a pé e comer rápido pra ajudar na loja. Não me lembro do meu irmão ajudar em algo. Isso ali era injusto mas pelo menos me ajudou a ser vendedora mais tarde.,2023-01-15T16:53:30.000Z,"Jan 15, 2023",122w,6
edilen_esantos,edilen_esantos,"A lista é imensa mas, a que mais marcou foi eu ter que limpar urina do meu irmão, rede, lençóis, pois ele adulto, mais de 20 anos, tinha fimose e fazia xixi dormindo. Ele saía de casa e eu tinha que limpar. Já ouviram alguém contar o contrário!?",2023-01-15T16:53:35.000Z,"Jan 15, 2023",122w,0
ninelima_,ninelima_,"Sou 2 anos e meio mais velha que meu irmão. Ele não tinha obrigações com as atividades da casa por ser homem... quando fomos praticar esporte que um parente ajudava a pagar, ele jogava futebol e eu vôlei, o mesmo parente parou de contribuir, meu pai disse que só pagaria o futebol para ele, pq só ele teria futuro... meu pai só ensinou ele a dirigir antes de ir a autoescola... essas 3 coisas foram o que mais marcou.",2023-01-15T16:53:56.000Z,"Jan 15, 2023",122w,0
